-DOCSTART- -X- -X- O
of IN B-PP O
SCA3 NN B-NP B-Disease
/ SYM B-NP O
MJD NN I-NP B-Disease
may MD B-VP O
be VB I-VP O
an DT B-NP O
altered JJ I-NP O
conformation NN I-NP O
of IN B-PP O
ataxin NN B-NP O
- HYPH B-NP O
3 CD I-NP O
within IN B-PP O
the DT B-NP O
nucleus NN I-NP O
that WDT B-NP O
exposes VBZ B-VP O
the DT B-NP O
polyglutamine NN I-NP O
domain NN I-NP O
. . O O

. . O O

The DT B-NP O
human JJ I-NP O
MAGEL2 NN I-NP O
gene NN I-NP O
and CC O O
its PRP$ B-NP O
mouse NN I-NP O
homologue NN I-NP O
are VBP B-VP O
paternally RB I-VP O
expressed VBN I-VP O
and CC O O
mapped VBN B-VP O
to TO B-PP O
the DT B-NP O
Prader NNP I-NP B-Disease
- HYPH I-NP I-Disease
Willi NNP I-NP I-Disease
region NN I-NP O
. . O O

Prader NNP B-NP B-Disease
- HYPH I-NP I-Disease
Willi NNP I-NP I-Disease
syndrome NN I-NP I-Disease
( ( O O
PWS NN B-NP B-Disease
) ) O O
is VBZ B-VP O
a DT B-NP O
complex JJ I-NP O
neurogenetic JJ I-NP B-Disease
disorder NN I-NP I-Disease
. . O O

The DT B-NP O
phenotype NN I-NP O
is VBZ B-VP O
likely JJ B-ADJP O
to TO B-VP O
be VB I-VP O
a DT B-NP O
contiguous JJ I-NP B-Disease
gene NN I-NP I-Disease
syndrome NN I-NP I-Disease
involving VBG B-VP O
genes NNS B-NP O
which WDT B-NP O
are VBP B-VP O
paternally RB I-VP O
expressed VBN I-VP O
only RB B-ADVP O
, , O O
located JJ B-ADJP O
in IN B-PP O
the DT B-NP O
human JJ I-NP O
15q11 CD I-NP O
- HYPH I-NP O
q13 NN I-NP O
region NN I-NP O
. . O O

Four CD B-NP O
mouse NN I-NP O
models NNS I-NP O
of IN B-PP O
PWS NN B-NP B-Disease
have VBP B-VP O
been VBN I-VP O
reported VBN I-VP O
but CC O O
these DT B-NP O
do VBP B-VP O
not RB I-VP O
definitively RB I-VP O
allow VB I-VP O
the DT B-NP O
delineation NN I-NP O
of IN B-PP O
the DT B-NP O
critical JJ I-NP O
region NN I-NP O
and CC O O
the DT B-NP O
associated JJ I-NP O
genes NNS I-NP O
involved VBN B-VP O
in IN B-PP O
the DT B-NP O
aetiology NN I-NP O
of IN B-PP O
PWS NN B-NP B-Disease
. . O O

Moreover RB B-ADVP O
, , O O
targeted VBN B-NP O
mutagenesis NN I-NP O
of IN B-PP O
mouse NN B-NP O
homologues NNS I-NP O
of IN B-PP O
the DT B-NP O
human JJ I-NP O
candidate NN I-NP O
PWS NN I-NP B-Disease
genes NNS I-NP O
does VBZ B-VP O
not RB I-VP O
appear VB I-VP O
to TO I-VP O
result VB I-VP O
in IN B-PP O
any DT B-NP O
of IN B-PP O
the DT B-NP O
features NNS I-NP O
of IN B-PP O
PWS NN B-NP B-Disease
. . O O

Therefore RB B-ADVP O
, , O O
the DT B-NP O
isolation NN I-NP O
of IN B-PP O
new JJ B-NP O
genes NNS I-NP O
in IN B-PP O
this DT B-NP O
region NN I-NP O
remains VBZ B-VP O
crucial JJ B-ADJP O
for IN B-PP O
a DT B-NP O
better JJR I-NP O
understanding NN I-NP O
of IN B-PP O
the DT B-NP O
molecular JJ I-NP O
basis NN I-NP O
of IN B-PP O
PWS NN B-NP B-Disease
. . O O

In IN B-PP O
this DT B-NP O
manuscript NN I-NP O
, , O O
we PRP B-NP O
report VBP B-VP O
the DT B-NP O
characterization NN I-NP O
of IN B-PP O
MAGEL2 NN B-NP O
and CC O O
its PRP$ B-NP O
mouse NN I-NP O
homologue NN I-NP O
Magel2 NN I-NP O
. . O O

These DT B-NP O
are VBP B-VP O
located JJ B-ADJP O
in IN B-PP O
the DT B-NP O
human JJ I-NP O
15q11 CD I-NP O
- HYPH I-NP O
q13 NN I-NP O
and CC I-NP O
mouse NN I-NP O
7C NN I-NP O
regions NNS I-NP O
, , O O
in IN B-PP O
close JJ B-NP O
proximity NN I-NP O
to TO B-PP O
NDN NN B-NP O
/ SYM B-NP O
Ndn NN I-NP O
. . O O

By IN B-PP O
northern JJ B-NP O
blot NN I-NP O
analysis NN I-NP O
we PRP B-NP O
did VBD B-VP O
not RB I-VP O
detect VB I-VP O
any DT B-NP O
expression NN I-NP O
of IN B-PP O
MAGEL2 NN B-NP O
/ SYM B-NP O
Magel2 NN I-NP O
but CC B-PP O
by IN B-PP O
RT NN B-NP O
- HYPH B-NP O
PCR NN I-NP O
analysis NN I-NP O
, , O O
specific JJ B-NP O
expression NN I-NP O
was VBD B-VP O
detected VBN I-VP O
in IN B-PP O
fetal JJ B-NP O
and CC I-NP O
adult JJ I-NP O
brain NN I-NP O
and CC B-PP O
in IN B-PP O
placenta NN B-NP O
. . O O

Both DT B-NP O
genes NNS I-NP O
are VBP B-VP O
intronless JJ B-ADJP O
with IN B-PP O
tandem JJ B-NP O
direct JJ I-NP O
repeat NN I-NP O
sequences NNS I-NP O
contained VBD B-VP O
within IN B-PP O
a DT B-NP O
CpG NN I-NP O
island NN I-NP O
in IN B-PP O
the DT B-NP O
5 CD I-NP O
- HYPH I-NP O
untranscribed JJ I-NP O
region NN I-NP O
. . O O

The DT B-NP O
transcripts NNS I-NP O
encode VBP B-VP O
putative JJ B-NP O
proteins NNS I-NP O
that WDT B-NP O
are VBP B-VP O
homologous JJ B-ADJP O
to TO B-PP O
the DT B-NP O
MAGE NN I-NP O
proteins NNS I-NP O
and CC I-NP O
NDN NN I-NP O
. . O O

Moreover RB B-ADVP O
, , O O
MAGEL2 NN B-NP O
/ SYM I-NP O
Magel2 NN I-NP O
are VBP B-VP O
expressed VBN I-VP O
only RB B-ADVP O
from IN B-PP O
the DT B-NP O
paternal JJ I-NP O
allele NN I-NP O
in IN B-PP O
brain NN B-NP O
, , O O
suggesting VBG B-VP O
a DT B-NP O
potential JJ I-NP O
role NN I-NP O
in IN B-PP O
the DT B-NP O
aetiology NN I-NP O
of IN B-PP O
PWS NN B-NP B-Disease
and CC O O
its PRP$ B-NP O
mouse NN I-NP O
model NN I-NP O
, , O O
respectively RB B-ADVP O
. . O O

. . O O

cDNA NN B-NP O
microarrays NNS I-NP O
detect VBP B-VP O
activation NN B-NP O
of IN B-PP O
a DT B-NP O
myogenic JJ I-NP O
transcription NN I-NP O
program NN I-NP O
by IN B-PP O
the DT B-NP O
PAX3 NN I-NP O
- HYPH B-NP O
FKHR NN I-NP O
fusion NN I-NP O
oncogene NN I-NP O
. . O O

Alveolar JJ B-NP B-Disease
rhabdomyosarcoma NN I-NP I-Disease
is VBZ B-VP O
an DT B-NP O
aggressive JJ I-NP O
pediatric JJ I-NP B-Disease
cancer NN I-NP I-Disease
of IN B-PP I-Disease
striated VBN B-NP I-Disease
muscle NN I-NP I-Disease
characterized VBN B-VP O
in IN B-PP O
60 CD B-NP O
% NN I-NP O
of IN B-PP O
cases NNS B-NP O
by IN B-PP O
a DT B-NP O
t NN I-NP O
( ( O O
2 CD B-NP O
; : O O
13 CD B-NP O
) ) O O
( ( O O
q35 NN B-NP O
; : O O
q14 NN B-NP O
) ) O O
. . O O

This DT B-NP O
results VBZ B-VP O
in IN B-PP O
the DT B-NP O
fusion NN I-NP O
of IN B-PP O
PAX3 NN B-NP O
, , O O
a DT B-NP O
developmental JJ I-NP O
transcription NN I-NP O
factor NN I-NP O
required VBN B-VP O
for IN B-PP O
limb NN B-NP O
myogenesis NN I-NP O
, , O O
with IN B-PP O
FKHR NN B-NP O
, , O O
a DT B-NP O
member NN I-NP O
of IN B-PP O
the DT B-NP O
forkhead NN I-NP O
family NN I-NP O
of IN B-PP O
transcription NN B-NP O
factors NNS I-NP O
. . O O

The DT B-NP O
resultant JJ I-NP O
PAX3 NN I-NP O
- HYPH I-NP O
FKHR NN I-NP O
gene NN I-NP O
possesses VBZ B-VP O
transforming VBG B-VP O
properties NNS B-NP O
; : O O
however RB B-ADVP O
, , O O
the DT B-NP O
effects NNS I-NP O
of IN B-PP O
this DT B-NP O
chimeric JJ I-NP O
oncogene NN I-NP O
on IN B-PP O
gene NN B-NP O
expression NN I-NP O
are VBP B-VP O
largely RB B-ADJP O
unknown JJ I-ADJP O
. . O O

To TO B-VP O
investigate VB I-VP O
the DT B-NP O
actions NNS I-NP O
of IN B-PP O
these DT B-NP O
transcription NN I-NP O
factors NNS I-NP O
, , O O
both CC O O
Pax3 NN B-NP O
and CC I-NP O
PAX3 NN I-NP O
- HYPH B-NP O
FKHR NN I-NP O
were VBD B-VP O
introduced VBN I-VP O
into IN B-PP O
NIH NN B-NP O
3T3 NN I-NP O
cells NNS I-NP O
, , O O
and CC O O
the DT B-NP O
resultant JJ I-NP O
gene NN I-NP O
expression NN I-NP O
changes NNS I-NP O
were VBD B-VP O
analyzed VBN I-VP O
with IN B-PP O
a DT B-NP O
murine JJ I-NP O
cDNA NN I-NP O
microarray NN I-NP O
containing VBG B-VP O
2 CD B-NP O
, , O O
225 CD B-NP O
elements NNS I-NP O
. . O O

We PRP B-NP O
found VBD B-VP O
that IN B-SBAR O
PAX3 NN B-NP O
- HYPH B-NP O
FKHR NN I-NP O
but CC B-NP O
not RB I-NP O
PAX3 NN B-NP O
activated VBD B-VP O
a DT B-NP O
myogenic JJ I-NP O
transcription NN I-NP O
program NN I-NP O
including VBG B-PP O
the DT B-NP O
induction NN I-NP O
of IN B-PP O
transcription NN B-NP O
factors NNS I-NP O
MyoD NN B-NP O
, , O O
Myogenin NN B-NP O
, , O O
Six1 NN B-NP O
, , O O
and CC O O
Slug NN B-NP O
as RB B-CONJP O
well RB I-CONJP O
as IN I-CONJP O
a DT B-NP O
battery NN I-NP O
of IN B-PP O
genes NNS B-NP O
involved VBN B-VP O
in IN B-PP O
several JJ B-NP O
aspects NNS I-NP O
of IN B-PP O
muscle NN B-NP O
function NN I-NP O
. . O O

Notable JJ B-ADJP O
among IN B-PP O
this DT B-NP O
group NN I-NP O
were VBD B-VP O
the DT B-NP O
growth NN I-NP O
factor NN I-NP O
gene NN I-NP O
Igf2 NN I-NP O
and CC O O
its PRP$ B-NP O
binding VBG I-NP O
protein NN I-NP O
Igfbp5 NN I-NP O
. . O O

Relevance NN B-NP O
of IN B-PP O
this DT B-NP O
model NN I-NP O
was VBD B-VP O
suggested VBN I-VP O
by IN B-PP O
verification NN B-NP O
that IN B-SBAR O
three CD B-NP O
of IN B-PP O
these DT B-NP O
genes NNS I-NP O
( ( O O
IGFBP5 NN B-NP O
, , O O
HSIX1 NN B-NP O
, , O O
and CC O O
Slug NN B-NP O
) ) O O
were VBD B-VP O
also RB I-VP O
expressed VBN I-VP O
in IN B-PP O
alveolar JJ B-NP B-Disease
rhabdomyosarcoma NN I-NP I-Disease
cell NN I-NP O
lines NNS I-NP O
. . O O

This DT B-NP O
study NN I-NP O
utilizes VBZ B-VP O
cDNA NN B-NP O
microarrays NNS I-NP O
to TO B-VP O
elucidate VB I-VP O
the DT B-NP O
pattern NN I-NP O
of IN B-PP O
gene NN B-NP O
expression NN I-NP O
induced VBN B-VP O
by IN B-PP O
an DT B-NP O
oncogenic JJ I-NP O
transcription NN I-NP O
factor NN I-NP O
and CC O O
demonstrates VBZ B-VP O
the DT B-NP O
profound JJ I-NP O
myogenic JJ I-NP O
properties NNS I-NP O
of IN B-PP O
PAX3 NN B-NP O
- HYPH B-NP O
FKHR NN I-NP O
in IN B-PP O
NIH NN B-NP O
3T3 NN I-NP O
cells NNS I-NP O
. . O O

. . O O

Experimental JJ B-NP O
hemochromatosis NN I-NP B-Disease
due JJ B-ADJP O
to TO B-PP O
MHC NN B-NP O
class NN I-NP O
I CD I-NP O
HFE NN I-NP B-Disease
deficiency NN I-NP I-Disease
: : O O
immune JJ B-NP O
status NN I-NP O
and CC O O
iron NN B-NP O
metabolism NN I-NP O
. . O O

The DT B-NP O
puzzling JJ I-NP O
linkage NN I-NP O
between IN B-PP O
genetic JJ B-NP O
hemochromatosis NN I-NP B-Disease
and CC I-NP O
histocompatibility NN I-NP O
loci NNS I-NP O
became VBD B-VP O
even RB B-ADVP O
more RBR I-ADVP O
so RB I-ADVP O
when WRB B-ADVP O
the DT B-NP O
gene NN I-NP O
involved VBN B-VP O
, , O O
HFE NN B-NP O
, , O O
was VBD B-VP O
identified VBN I-VP O
. . O O

Indeed RB B-ADVP O
, , O O
within IN B-PP O
the DT B-NP O
well RB I-NP O
defined VBN I-NP O
, , O O
mainly RB B-NP O
peptide NN I-NP O
- HYPH O O
binding NN B-NP O
, , O O
MHC NN B-NP O
class NN I-NP O
I CD I-NP O
family NN I-NP O
of IN B-PP O
molecules NNS B-NP O
, , O O
HFE NN B-NP O
seems VBZ B-VP O
to TO I-VP O
perform VB I-VP O
an DT B-NP O
unusual JJ I-NP O
yet RB I-NP O
essential JJ I-NP O
function NN I-NP O
. . O O

As IN B-PP O
yet RB B-ADVP O
, , O O
our PRP$ B-NP O
understanding NN I-NP O
of IN B-PP O
HFE NN B-NP O
function NN I-NP O
in IN B-PP O
iron NN B-NP O
homeostasis NN I-NP O
is VBZ B-VP O
only RB B-ADJP O
partial JJ I-ADJP O
; : O O
an DT B-NP O
even RB I-NP O
more RBR I-NP O
open JJ I-NP O
question NN I-NP O
is VBZ B-VP O
its PRP$ B-NP O
possible JJ I-NP O
role NN I-NP O
in IN B-PP O
the DT B-NP O
immune JJ I-NP O
system NN I-NP O
. . O O

To TO B-VP O
advance VB I-VP O
on IN B-PP O
both DT B-NP O
of IN B-PP O
these DT B-NP O
avenues NNS I-NP O
, , O O
we PRP B-NP O
report VBP B-VP O
the DT B-NP O
deletion NN I-NP O
of IN B-PP O
HFE NN B-NP O
alpha1 NN I-NP O
and CC O O
alpha2 NN B-NP O
putative JJ I-NP O
ligand NN I-NP O
binding NN I-NP O
domains NNS I-NP O
in FW B-ADVP O
vivo FW I-ADVP O
. . O O

HFE NN B-NP B-Disease
- HYPH I-NP I-Disease
deficient JJ I-NP I-Disease
animals NNS I-NP O
were VBD B-VP O
analyzed VBN I-VP O
for IN B-PP O
a DT B-NP O
comprehensive JJ I-NP O
set NN I-NP O
of IN B-PP O
metabolic JJ B-NP O
and CC I-NP O
immune JJ I-NP O
parameters NNS I-NP O
. . O O

Faithfully RB B-ADVP O
mimicking VBG B-VP O
human JJ B-NP O
hemochromatosis NN I-NP B-Disease
, , O O
mice NNS B-NP O
homozygous JJ B-ADJP O
for IN B-PP O
this DT B-NP O
deletion NN I-NP O
develop NN I-NP O
iron NN I-NP O
overload NN I-NP O
, , O O
characterized VBN B-VP O
by IN B-PP O
a DT B-NP O
higher JJR I-NP O
plasma NN I-NP O
iron NN I-NP O
content NN I-NP O
and CC O O
a DT B-NP O
raised VBN I-NP O
transferrin NN I-NP O
saturation NN I-NP O
as RB B-CONJP O
well RB I-CONJP O
as IN I-CONJP O
an DT B-NP O
elevated JJ I-NP O
hepatic JJ I-NP O
iron NN I-NP O
load NN I-NP O
. . O O

The DT B-NP O
primary JJ I-NP O
defect NN I-NP O
could MD B-VP O
, , O O
indeed RB B-ADVP O
, , O O
be VB B-VP O
traced VBN I-VP O
to TO B-PP O
an DT B-NP O
augmented JJ I-NP O
duodenal JJ I-NP O
iron NN I-NP O
absorption NN I-NP O
. . O O

In IN B-PP O
parallel NN B-NP O
, , O O
measurement NN B-NP O
of IN B-PP O
the DT B-NP O
gut NN I-NP O
mucosal JJ I-NP O
iron NN I-NP O
content NN I-NP O
as RB B-CONJP O
well RB I-CONJP O
as IN I-CONJP O
iron NN B-NP O
regulatory JJ I-NP O
proteins NNS I-NP O
allows VBZ B-VP O
a DT B-NP O
more RBR I-NP O
informed JJ I-NP O
evaluation NN I-NP O
of IN B-PP O
various JJ B-NP O
hypotheses NNS I-NP O
regarding VBG B-VP O
the DT B-NP O
precise JJ I-NP O
role NN I-NP O
of IN B-PP O
HFE NN B-NP O
in IN B-PP O
iron NN B-NP O
homeostasis NN I-NP O
. . O O

Finally RB B-ADVP O
, , O O
an DT B-NP O
extensive JJ I-NP O
phenotyping NN I-NP O
of IN B-PP O
primary JJ B-NP O
and CC I-NP O
secondary JJ I-NP O
lymphoid JJ I-NP O
organs NNS I-NP O
including VBG B-PP O
the DT B-NP O
gut NN I-NP O
provides VBZ B-VP O
no DT B-NP O
compelling JJ I-NP O
evidence NN I-NP O
for IN B-PP O
an DT B-NP O
obvious JJ I-NP O
immune JJ I-NP O
- HYPH I-NP O
linked VBN I-NP O
function NN I-NP O
for IN B-PP O
HFE NN B-NP O
. . O O

. . O O

Somatic JJ B-NP O
rearrangement NN I-NP O
of IN B-PP O
chromosome NN B-NP O
14 CD I-NP O
in IN B-PP O
human JJ B-NP O
lymphocytes NNS I-NP O
. . O O

Ataxia NN B-NP B-Disease
- HYPH I-NP I-Disease
telangiectasia NN I-NP I-Disease
is VBZ B-VP O
a DT B-NP O
rare JJ I-NP O
genetic JJ I-NP B-Disease
disorder NN I-NP I-Disease
associated VBN B-VP O
with IN B-PP O
immune JJ B-NP B-Disease
deficiency NN I-NP I-Disease
, , O O
chromosome NN B-NP B-Disease
instability NN I-NP I-Disease
, , O O
and CC O O
a DT B-NP O
predisposition NN I-NP O
to TO B-PP O
lymphoid JJ B-NP B-Disease
malignancy NN I-NP I-Disease
. . O O

We PRP B-NP O
have VBP B-VP O
detected VBN I-VP O
chromosomally RB B-NP O
anomalous JJ I-NP O
clones NNS I-NP O
of IN B-PP O
lymphocytes NNS B-NP O
in IN B-PP O
eight CD B-NP O
patients NNS I-NP O
with IN B-PP O
this DT B-NP O
disorder NN I-NP O
. . O O

Chromosome NN B-NP O
banding NN I-NP O
disclosed VBD B-VP O
that IN B-SBAR O
the DT B-NP O
clones NNS I-NP O
are VBP B-VP O
consistently RB I-VP O
marked VBN I-VP O
by IN B-PP O
structural JJ B-NP O
rearrangement NN I-NP O
of IN B-PP O
the DT B-NP O
long JJ I-NP O
arm NN I-NP O
( ( O O
q NN B-NP O
) ) O O
of IN B-PP O
chromosome NN B-NP O
14 CD I-NP O
. . O O

A DT B-NP O
translocation NN I-NP O
involving VBG B-VP O
14q NN B-NP O
was VBD B-VP O
found VBN I-VP O
in IN B-PP O
clones NNS B-NP O
obtained VBN B-VP O
from IN B-PP O
seven CD B-NP O
of IN B-PP O
the DT B-NP O
eight CD I-NP O
patients NNS I-NP O
whereas IN B-PP O
a DT B-NP O
ring NN I-NP O
14 CD I-NP O
chromosome NN I-NP O
was VBD B-VP O
found VBN I-VP O
in IN B-PP O
a DT B-NP O
clone NN I-NP O
obtained VBN B-VP O
from IN B-PP O
the DT B-NP O
other JJ I-NP O
. . O O

These DT B-NP O
findings NNS I-NP O
as RB B-CONJP O
well RB I-CONJP O
as IN I-CONJP O
data NNS B-NP O
obtained VBN B-VP O
by IN B-PP O
others NNS B-NP O
for IN B-PP O
patients NNS B-NP O
with IN B-PP O
ataxia NN B-NP B-Disease
- HYPH O I-Disease
telangiectasia NN B-NP I-Disease
suggest VBP B-VP O
that IN B-SBAR O
structural JJ B-NP O
rearrangement NN I-NP O
of IN B-PP O
14q NN B-NP O
is VBZ B-VP O
the DT B-NP O
initial JJ I-NP O
chromosomal JJ I-NP O
change NN I-NP O
in IN B-PP O
lymphocyte NN B-NP O
clones NNS I-NP O
of IN B-PP O
patients NNS B-NP O
with IN B-PP O
this DT B-NP O
disorder NN I-NP O
. . O O

Chromosomes NNS B-NP O
of IN B-PP O
lymphocytes NNS B-NP O
from IN B-PP O
one CD B-NP O
of IN B-PP O
the DT B-NP O
patients NNS I-NP O
were VBD B-VP O
studied VBN I-VP O
before IN B-PP O
and CC I-PP O
after IN I-PP O
the DT B-NP O
onset NN I-NP O
of IN B-PP O
chronic JJ B-NP B-Disease
lymphocytic JJ I-NP I-Disease
leukemia NN I-NP I-Disease
. . O O

Before IN B-SBAR O
leukemia NN B-NP B-Disease
was VBD B-VP O
diagnosed VBN I-VP O
, , O O
the DT B-NP O
patient NN I-NP O
had VBD B-VP O
a DT B-NP O
lymphocyte NN I-NP O
clone NN I-NP O
with IN B-PP O
a DT B-NP O
14q NN I-NP O
translocation NN I-NP O
. . O O

This DT B-NP O
clone NN I-NP O
appears VBZ B-VP O
to TO I-VP O
have VB I-VP O
given VBN I-VP O
rise NN B-NP O
to TO B-PP O
the DT B-NP O
leukemic JJ I-NP B-Disease
cells NNS I-NP O
. . O O

We PRP B-NP O
hypothesize VBP B-VP O
that IN B-SBAR O
structural JJ B-NP O
rearrangement NN I-NP O
of IN B-PP O
14q NN B-NP O
is VBZ B-VP O
directly RB B-ADJP O
related VBN I-ADJP O
to TO B-PP O
abnormal JJ B-NP O
growth NN I-NP O
of IN B-PP O
lymphocytes NNS B-NP O
and CC O O
that IN B-SBAR O
it PRP B-NP O
may MD B-VP O
be VB I-VP O
a DT B-NP O
step NN I-NP O
toward IN B-PP O
the DT B-NP O
development NN I-NP O
of IN B-PP O
lymphoid JJ B-NP B-Disease
malignancies NNS I-NP I-Disease
. . O O

Increasing VBG B-NP O
evidence NN I-NP O
, , O O
provided VBN B-PP O
by IN B-PP O
others NNS B-NP O
, , O O
for IN B-PP O
the DT B-NP O
nonrandom JJ I-NP O
involvement NN I-NP O
of IN B-PP O
14q NN B-NP O
in IN B-PP O
African JJ B-NP O
- HYPH I-NP O
type NN I-NP O
Burkitts NNS I-NP B-Disease
lymphoma NN I-NP I-Disease
and CC O O
other JJ B-NP O
lymphoid JJ I-NP B-Disease
neoplasms NNS I-NP I-Disease
further JJ B-NP O
strengthens NNS I-NP O
this DT B-NP O
hypothesis NN I-NP O
. . O O

. . O O

Exon NN B-NP O
9 CD B-NP O
mutations NNS I-NP O
in IN B-PP O
the DT B-NP O
WT1 NN I-NP O
gene NN I-NP O
, , O O
without IN B-PP O
influencing VBG B-VP O
KTS NN B-NP O
splice NN I-NP O
isoforms NNS I-NP O
, , O O
are VBP B-VP O
also RB B-ADVP O
responsible JJ B-ADJP O
for IN B-PP O
Frasier JJR B-NP B-Disease
syndrome NN I-NP I-Disease
. . O O

We PRP B-NP O
report VBP B-VP O
new JJ B-NP O
mutations NNS I-NP O
in IN B-PP O
exon NN B-NP O
9 CD I-NP O
of IN B-PP O
the DT B-NP O
WT1 NN I-NP O
gene NN I-NP O
that WDT B-NP O
did VBD B-VP O
not RB I-VP O
alter VB I-VP O
the DT B-NP O
ratio NN I-NP O
of IN B-PP O
+ SYM B-NP O
/ SYM B-NP O
- HYPH B-NP O
KTS NN I-NP O
splice NN I-NP O
isoforms NNS I-NP O
in IN B-PP O
two CD B-NP O
unrelated JJ I-NP O
patients NNS I-NP O
with IN B-PP O
Frasier JJR B-NP B-Disease
syndrome NN I-NP I-Disease
( ( O O
FS NN B-NP B-Disease
) ) O O
. . O O

The DT B-NP O
mutation NN I-NP O
of IN B-PP O
intron NN B-NP O
9 CD I-NP O
inducing VBG B-VP O
defective JJ B-NP O
alternative JJ I-NP O
splicing NN I-NP O
was VBD B-VP O
reported VBN I-VP O
to TO I-VP O
be VB I-VP O
responsible JJ B-ADJP O
for IN B-PP O
this DT B-NP O
syndrome NN I-NP O
. . O O

The DT B-NP O
mutations NNS I-NP O
found VBN B-VP O
in IN B-PP O
our PRP$ B-NP O
cases NNS I-NP O
occurred VBD B-VP O
in IN B-PP O
the DT B-NP O
same JJ I-NP O
exon NN I-NP O
of IN B-PP O
the DT B-NP O
WT1 NN I-NP O
gene NN I-NP O
as IN B-SBAR O
detected VBN B-VP O
in IN B-PP O
Denys NNP B-NP B-Disease
- HYPH I-NP I-Disease
Drash NNP I-NP I-Disease
syndrome NN I-NP I-Disease
( ( O O
DDS NN B-NP B-Disease
) ) O O
and CC O O
could MD B-VP O
not RB I-VP O
be VB I-VP O
explained VBN I-VP O
by IN B-PP O
the DT B-NP O
previously RB I-NP O
proposed VBN I-NP O
mechanism NN I-NP O
. . O O

The DT B-NP O
results NNS I-NP O
suggest VBP B-VP O
that IN B-SBAR O
the DT B-NP O
two CD I-NP O
syndromes NNS I-NP O
originate VBP B-VP O
from IN B-PP O
the DT B-NP O
same JJ I-NP O
WT1 NN I-NP B-Disease
gene NN I-NP I-Disease
abnormality NN I-NP I-Disease
. . O O

From IN B-PP O
a DT B-NP O
molecular JJ I-NP O
biological JJ I-NP O
point NN I-NP O
of IN B-PP O
view NN B-NP O
, , O O
we PRP B-NP O
concluded VBD B-VP O
that IN B-SBAR O
the DT B-NP O
two CD I-NP O
diseases NNS I-NP O
were VBD B-VP O
not RB O O
separable JJ B-ADJP O
, , O O
and CC O O
that IN B-SBAR O
FS NN B-NP B-Disease
should MD B-VP O
be VB I-VP O
included VBN I-VP O
as IN B-PP O
an DT B-NP O
atypical JJ I-NP O
form NN I-NP O
of IN B-PP O
DDS NN B-NP B-Disease
. . O O

. . O O

Splice NN B-NP O
- HYPH I-NP O
site NN I-NP O
mutation NN I-NP O
in IN B-PP O
the DT B-NP O
PDS NN I-NP B-Disease
gene NN I-NP O
may MD B-VP O
result VB I-VP O
in IN B-PP O
intrafamilial JJ B-NP O
variability NN I-NP O
for IN B-PP O
deafness NN B-NP B-Disease
in IN B-PP O
Pendred NNP B-NP B-Disease
syndrome NN I-NP I-Disease
. . O O

Pendred VBN B-NP B-Disease
syndrome NN I-NP I-Disease
is VBZ B-VP O
a DT B-NP O
recessive JJ I-NP B-Disease
inherited VBN I-NP I-Disease
disorder NN I-NP I-Disease
that WDT B-NP O
consists VBZ B-VP O
of IN B-PP O
developmental JJ B-NP B-Disease
abnormalities NNS I-NP I-Disease
of IN B-PP I-Disease
the DT B-NP I-Disease
cochlea NN I-NP I-Disease
, , O O
sensorineural JJ B-NP B-Disease
hearing NN I-NP I-Disease
loss NN I-NP I-Disease
, , O O
and CC O O
diffuse JJ B-NP B-Disease
thyroid NN I-NP I-Disease
enlargement NN I-NP I-Disease
( ( O O
goiter NN B-NP B-Disease
) ) O O
. . O O

This DT B-NP O
disorder NN I-NP O
may MD B-VP O
account VB I-VP O
for IN B-PP O
up RB B-NP O
to TO I-NP O
10 CD I-NP O
% NN I-NP O
of IN B-PP O
cases NNS B-NP O
of IN B-PP O
hereditary JJ B-NP B-Disease
deafness NN I-NP I-Disease
. . O O

The DT B-NP O
disease NN I-NP O
gene NN I-NP O
( ( O O
PDS NN B-NP B-Disease
) ) O O
has VBZ B-VP O
been VBN I-VP O
mapped VBN I-VP O
to TO B-PP O
chromosome NN B-NP O
7q22 NN I-NP O
- HYPH B-NP O
q31 NN I-NP O
, , O O
and CC O O
encodes VBZ B-VP O
a DT B-NP O
chloride NN I-NP O
- HYPH I-NP O
iodide NN I-NP O
transport NN I-NP O
protein NN I-NP O
. . O O

We PRP B-NP O
performed VBD B-VP O
mutation NN B-NP O
analysis NN I-NP O
of IN B-PP O
individual JJ B-NP O
exons NNS I-NP O
of IN B-PP O
the DT B-NP O
PDS NN I-NP B-Disease
gene NN I-NP O
in IN B-PP O
one CD B-NP O
Spanish JJ I-NP O
family NN I-NP O
that WDT B-NP O
shows VBZ B-VP O
intrafamilial JJ B-NP O
variability NN I-NP O
of IN B-PP O
the DT B-NP O
deafness NN I-NP B-Disease
phenotype NN I-NP O
( ( O O
two CD B-NP O
patients NNS I-NP O
with IN B-PP O
profound JJ O O
and CC O O
one CD B-NP O
with IN B-PP O
moderate JJ B-NP O
- HYPH I-NP O
severe JJ I-NP O
deafness NN I-NP B-Disease
) ) O O
. . O O

We PRP B-NP O
identified VBD B-VP O
a DT B-NP O
new JJ I-NP O
splice NN I-NP O
- HYPH I-NP O
site NN I-NP O
mutation NN I-NP O
affecting VBG B-VP O
intron NN B-NP O
4 CD I-NP O
of IN B-PP O
